Reference,Quantity,Description,Datasheet,Manufacturer,mpn,digikey#,rs#
BT801,1,Battery Holder,~,Keystone,103,36-103-ND‎,
BT801,1,CR2023 Battery,~,Panasonic,CR2032,P189-ND,
C201 C402 C501 C601 C702 C701 C703 C803 C1003 C1004 C1002 C1001 C1005,13,100nF Disc Capacitor Through-Hole 2.50mm lead pitch,~,Vishay,K104K15X7RF5TL2,BC1084CT-ND‎,
C302 C301,2,33nF Disc Capacitor Through-Hole 2.50mm lead pitch,~,Vishay,K333K15X7RF5TL2,‎BC1081CT-ND‎,
C303 C304 C401,3,10uF Radial Electrolytic Capacitor 2.50mm lead pitch,~,Vishay,MAL203858109E3,‎BC5157-ND‎,
C403,1,47uF Radial Electrolytic Capacitor 2.50mm lead pitch,~,Vishay,MAL214250479E3,4596PHBK-ND‎,
C602 C609 C603 C604 C605 C608 C607 C606,8,22nF Disc Capacitor Through-Hole 2.50mm lead pitch,~,Vishay,K223K15X7RF5TL2,BC1080CT-ND‎,
C801 C802,2,6pF Disc Capacitor Through-Hole 2.50mm lead pitch,~,TDK,FG18C0G1H060DNT06,445-173167-1-ND‎,
D201,1,1N148 DO-35 Diode Through-Hole 7.62mm lead pitch,~,ON Semi,1N4148TR,1N4148VSCT-ND‎,
D401,1,5V DO-15 TVS Diode Through-Hole 12.7mm lead pitch,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_sa_datasheet.pdf.pdf,Littelfuse,SA5.0A,SA5.0ALFCT-ND‎,
D402 D501,2,Red LED Through-Hole 3.0mm lead pitch,~,Würth Elektronik,151031SS04000,732-5005-ND‎,
F401,1,PTC resettable fuse 72V 250mA,https://www.littelfuse.com/~/media/electronics/product_specifications/resettable_ptcs/littelfuse_ptc_rxef025_product_specification.pdf.pdf,Littelfuse Inc,RXEF025,RXEF025HF-ND‎,
J1001,1,10 pin (2x5) boxed 2.54mm header for IDC cable,~,On Shore Technology,302-S101,ED1543-ND‎,
J101 J102,2,12 pin (2x6) 2.54mm header,~,Harwin,M20-9980646,952-2126-ND,
J103,1,8 pin (2x4) 2.54mm socket,~,Adam Tech,RS2-08-G,2057-RS2-08-G-ND‎,
J202 J201,2,5 pin DIN 180 Socket,https://docs.rs-online.com/1ee9/0900766b81579be1.pdf,RS,491-087,,491-087
J301,1,3.5mm Audio Jack TRS,~,CUI,SJ1-3533NG,CP1-3533NG-ND‎,
J302,1,3 pin (1x3) 2.54mm header,~,Harwin,M20-9770346,952-1777-ND,
